"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Software Engineer","Write clean and efficient code, design database structures, and build complete web and mobile applications. I was also responsible for analyzing software requirements, finding and fixing bugs through testing.","2019-09","2024-12"
"2","2","Flutter Developer","Design and develop a cross-platform mobile application for citizen services. My role helped organize citizens complaints about essential services, which improved response times for engineers and supported local infrastructure.","2025-04","2026-03"
